Month,Day,Year,Latitude,Longitude,Sea_Surface_Temperature,HotSpots,Degree_Heating_Weeks,Bleaching_Alert_Area
12,15,2013,24.75,-81.625,26.7244,0,0,0
12,16,2013,24.75,-81.625,26.6551,0,0,0
12,17,2013,24.75,-81.625,26.2221,0,0,0
12,18,2013,24.75,-81.625,26.3127,0,0,0
12,19,2013,24.75,-81.625,25.9711,0,0,0
12,20,2013,24.75,-81.625,25.652,0,0,0
12,21,2013,24.75,-81.625,25.751,0,0,0
12,22,2013,24.75,-81.625,25.7465,0,0,0
12,23,2013,24.75,-81.625,25.9328,0,0,0
12,24,2013,24.75,-81.625,26.0494,0,0,0
12,25,2013,24.75,-81.625,25.6202,0,0,0
12,26,2013,24.75,-81.625,26.1493,0,0,0
12,27,2013,24.75,-81.625,26.2806,0,0,0
12,28,2013,24.75,-81.625,26.0297,0,0,0
12,29,2013,24.75,-81.625,26.492,0,0,0
12,30,2013,24.75,-81.625,26.3469,0,0,0
12,31,2013,24.75,-81.625,26.4736,0,0,0
1,1,2014,24.75,-81.625,26.2825,0,0,0
1,2,2014,24.75,-81.625,26.2889,0,0,0
1,3,2014,24.75,-81.625,26.2876,0,0,0
1,4,2014,24.75,-81.625,25.7443,0,0,0
1,5,2014,24.75,-81.625,25.9791,0,0,0
1,6,2014,24.75,-81.625,25.9206,0,0,0
1,7,2014,24.75,-81.625,24.7621,0,0,0
1,8,2014,24.75,-81.625,24.5867,0,0,0
1,9,2014,24.75,-81.625,24.2652,0,0,0
1,10,2014,24.75,-81.625,25.3387,0,0,0
1,11,2014,24.75,-81.625,25.9173,0,0,0
1,12,2014,24.75,-81.625,25.7478,0,0,0
1,13,2014,24.75,-81.625,25.4586,0,0,0
1,14,2014,24.75,-81.625,25.673,0,0,0
1,15,2014,24.75,-81.625,25.906,0,0,0
1,16,2014,24.75,-81.625,25.6476,0,0,0
1,17,2014,24.75,-81.625,25.3902,0,0,0
1,18,2014,24.75,-81.625,25.4622,0,0,0
1,19,2014,24.75,-81.625,25.0095,0,0,0
1,20,2014,24.75,-81.625,24.6087,0,0,0
1,21,2014,24.75,-81.625,24.6867,0,0,0
1,22,2014,24.75,-81.625,24.3326,0,0,0
1,23,2014,24.75,-81.625,24.2031,0,0,0
1,24,2014,24.75,-81.625,23.8895,0,0,0
1,25,2014,24.75,-81.625,23.9992,0,0,0
1,26,2014,24.75,-81.625,24.2381,0,0,0
1,27,2014,24.75,-81.625,24.0339,0,0,0
1,28,2014,24.75,-81.625,24.1276,0,0,0
1,29,2014,24.75,-81.625,24.6863,0,0,0
1,30,2014,24.75,-81.625,24.3973,0,0,0
1,31,2014,24.75,-81.625,24.2838,0,0,0
2,1,2014,24.75,-81.625,24.7311,0,0,0
2,2,2014,24.75,-81.625,24.7683,0,0,0
2,3,2014,24.75,-81.625,24.6592,0,0,0
2,4,2014,24.75,-81.625,25.1772,0,0,0
2,5,2014,24.75,-81.625,25.2427,0,0,0
2,6,2014,24.75,-81.625,25.6322,0,0,0
2,7,2014,24.75,-81.625,25.7928,0,0,0
2,8,2014,24.75,-81.625,25.9509,0,0,0
2,9,2014,24.75,-81.625,26.3849,0,0,0
2,10,2014,24.75,-81.625,26.1542,0,0,0
2,11,2014,24.75,-81.625,25.975,0,0,0
2,12,2014,24.75,-81.625,26.299,0,0,0
2,13,2014,24.75,-81.625,25.3883,0,0,0
2,14,2014,24.75,-81.625,25.1894,0,0,0
2,15,2014,24.75,-81.625,25.1307,0,0,0
